,Xb,IM,Tp,Sp,AX,C,I,EX,desc,X,GDP,Tf,Sf,W,GP,W2,W_row,Tf,Sf,Rr,,Rp,GNI,W_row_net,GNI,CT_recieved,CT_paid,GDI,HH1,G,HH2,S,d9_recieved,d9_paid,GFCF,inv,k2,NL0
2014,132844907.0,16351535.5,10550847.8,258701.8,64078569.0,56418220.9,17883660.1,21425934.6,-317796.1,143137053.0,79058484.0,11497946.7,493706.9,37430458.0,30623786.2,37049324.8,-381133.2,11497946.8,493706.9,1622955.0,80300305.9,3815331.9,76484974.0,-381133.2,76484974.0,671576.6,986460.0,76170090.6,41954831.1,14173198.5,290191.3,19751869.7,16942.4,1868686.4,17115121.0,768539.1,10304.9,6160.7
2015,145956162.4,17153423.3,8738499.6,271647.2,71328710.2,58240533.5,18603397.9,23854056.5,-450260.0,154423014.8,83094304.6,9787221.1,516204.9,39745493.0,34077795.4,39438178.4,-307314.6,9787221.1,516204.9,2070853.7,84857843.7,3933121.8,80924721.9,-307314.6,80924721.9,603548.1,954780.1,80573489.9,43242320.3,14684126.2,314087.0,22332956.4,18501.4,33892.6,17325846.7,1277551.2,2841.4,3711325.9
2016,153856534.7,17689044.9,8817205.9,278288.2,76381248.1,61389774.1,20242855.7,22137648.3,-67028.9,162395452.4,86014204.3,9942260.5,523413.9,41245363.8,35349993.9,41125144.9,-120218.9,9942260.5,523413.9,2460666.6,88354652.0,4676138.0,83678514.0,-120218.9,83678514.0,573412.4,990384.5,83261541.9,45317053.8,15728490.9,344229.4,21871767.8,65467.8,116572.2,18910543.3,1332312.4,934.4,1576873.3
2017,166329337.9,19072953.0,9264512.5,318752.7,83173749.9,65165442.1,22189209.6,23994306.3,-174657.2,175275097.70000002,92101347.8,10508160.8,522587.5,43884319.8,38231454.7,43751475.2,-132844.6,10508160.8,522587.5,2481226.8,94449730.0,4797296.7,89652433.3,-132844.6,89652433.3,615631.1,1140312.5,89127751.9,48135665.4,16649198.2,380578.5,23962309.8,28698.6,37444.9,20571118.7,1618090.9,2270.5,1762083.4
2018,185534251.4,21574303.8,11404173.9,327900.9,92734724.0,69332988.5,23611223.6,31932556.0,573336.1,196610524.4,103875800.4,12769698.8,544797.6,48244368.2,43406531.0,48053052.0,-191316.2,12769698.8,544797.6,3071599.9,106756084.1,5488729.5,101267354.6,-191316.2,101267354.6,734035.0,1317584.0,100683805.6,50851055.8,18049306.7,432626.0,31350817.1,13617.9,80107.0,22237431.5,1373792.1,4316.8,7668787.6
